questionId	question	answer1	answer2	right
问题ID	问题	答案A	答案B	正确答案（1 or 2）
1	Quel est le circuit le plus rapide du championnat de Formule 1 	Monza.	 Suzuka.	1
2	Quel chanteur français est évoqué par la photo ci-dessous ?	Raphael.	Bénabar.	1
3	A quelle série télévisée des années 80 le nom de code "Zebra 3" vous fait-il penser ?	'Starsky & Hutch	'CHiPs'	1
4	Parmi ces célébrités, laquelle n'est pas de nationalité belge ?	Chantal Ladesou.	Yolande Moreau	1
5	Lequel de ces romans a été écrit par Charles Dickens	'Oliver Twist'.	 'Billy Elliot'.	1
6	Dans quelle mer l'île volcanique du Stromboli se situe-t-elle ?	La mer Tyrrhénienne.	 La mer Egée.	1
7	Quelle expression n'est jamais utilisée pour désigner des êtres inséparables ?	Être unis comme les trois doigts de la main.	Être unis comme les deux doigts de la main.	1
8	En général, combien y a-t-il de trous dans une boule de bowling ?	Deux.	Trois.	2
9	Retrouvez le titre issu du répertoire de cette jolie chanteuse rousse :	'Je te rends ta chance'.	'Je te rends ton amour'.	2
10	Quelle destination devez-vous prendre pour pouvoir humer le parfum de cette fleur de Tiaré?	Tahiti.	 Haïti.	1
11	Combien vaut un tiers et demi de cent ?	50	17	1
12	Qui s'est incliné en finale de l'Open d'Australie en 2008 ?	Gaël Monfils.	Jo-Wilfried Tsonga.	2
13	Quelle oeuvre n'a pas été réalisée par le sculpteur français Auguste Rodin (1840-1917) ?	Le Discobole.	Le Baiser.	1
14	A quel groupe de serpents ce spécimen appartient-il ?	Les serpents tigre.	Les serpents corail.	2
15	Quel est l'endroit le plus sec de la terre ?	Le désert du Kalahari au Botswana.	Le désert d'Atacama au Chili.	2
16	Quel événement ne s'est pas déroulé un 11 septembre ?	Le coup d'Etat militaire de Pinochet en 1973	L'armistice de la Première Guerre mondiale en 1918.	1
17	Quelle est la bonne orthographe ?	La résurrection.	La résurection.	1
18	D'où vient la teinte rouge du sang ?	De l'hémoglobine.	Du plasma.	1
19	Quelle bille doit-on empocher en dernier lieu pour remporter une partie de billard anglais ?	La blanche.	La huit noire	2
20	Quel acteur tient le rôle principal dans "Qui veut la peau de Roger Rabbit ? " sorti en 1988 ?	Joe Pesci.	Bob Hoskins.	2
21	Quel duo français de musique électronique apparaît souvent casqué ?	Daft Punk.	Air.	1
22	Le zéro absolu est la température la plus basse qui puisse exister mais quelle est sa valeur en degré Celsius ?	- 273, 15 °C.	- 373, 15 °C.	1
23	Outre le rôle de Super Résistant, quel personnage joue Martin Lamotte dans "Papy Fait de la Résistance" ?	Jean-Robert Bourdelle	Guy-Hubert Bourdelle	2
24	Qui incarnait Anne-Sophie de la Coquillette et Lady Zbouba dans une émission de Laurent Ruquier ?	Anne Roumanoff	Florence Foresti	2
25	Au final, il devrait accueillir près de 3 millions de graines de variétés différentes... Savez-vous où se trouve le véritable grenier à graines de l'humanité ?	Au Svalbard en Norvège.	Aux Açores au Portugal.	1
26	En physique, comment appelle-t-on le passage d'un corps de l'état solide à l'état gazeux, sans passer par l'état liquide ?	La stupéfaction.	La sublimation.	2
27	Quelle est l'utilisation la plus courante des ressorts biconiques également appelés ressorts Bonnell ?	Porte de garage.	Matelas.	2
28	Géographie - Quel département dont le nom vient d'une autre langue que le français se traduit par "petite mer" ?	Morbihan.	Gironde.	1
29	Société - Selon l'astrologie chinoise, dans quelle année sommes-nous depuis le 19 février 2015 ?	L'année de la chèvre.	 L'année du cheval.	1
30	 Quel pays issu du démantèlement de l'ex-Yougoslavie en 1991 a rejoint l'Union européenne le 1er juillet 2013 ?	La Croatie.	La Serbie.	1
31	L'expression "Baisser pavillon" trouve son origine au XVIe siècle dans la marine. Laquelle de ces expressions a la même signification ?	Jeter l'éponge.	Rendre l'âme.	1
32	quel acteur n'a pas pu garder son nom à l'écran à cause de son homonymie avec Michael Douglas ?	Michael Keaton	Michael J. Fox	1
33	L'Organisation du Traité de l'Atlantique Nord est une organisation politico-militaire qui rassemble de nombreux pays occidentaux. Où se trouve le siège de l'OTAN depuis 1966 ?	Bruxelles.	 Londres.	1
34	Quel égyptologue est à l'origine du déchiffrement moderne des hiéroglyphes grâce à la pierre de Rosette (en 1822) ?	Howard Carter.	Jean-François Champollion.	2
35	Ray Charles (1930-2004) était surnommé "The Genius". Combien de sens restait-il à l'inventeur de la musique soul ?	 4 sens.	5 sens.	1
36	Quel est dans l'ordre de leur sortie, les trois derniers James Bond, dont le personnage est interprété par Daniel Craig ?	'Casino Royal', 'Quantum of Solace' et 'Skyfall'	 'Skyfall', 'Casino Royal' et 'Quantum of Solace'	1
37	Ce coup-ci nous parlons du mot Loire. Savez-vous combien de départements français comportent le nom Loire ?	6 départements	5 départements	1
38	Quel phénomène naturel se produit dans l'embouchure de certains fleuves lors des grandes marées ?	Le mascaret.	Le mascara.	1
39	Quelle sonde spatiale lancée en 1977 est devenue la première création humaine à quitter la zone d'influence du soleil ?	Voyager I.	Viking II.	1
40	Quelle méthode de conservation est utilisée pour conditionner des aliments dans des boîtes de conserve ?	L'ionisation.	L'appertisation.	2
41	Sachant que nous sommes en Septembre 2015, depuis combien de temps la Reine Elizabeth II règne-t-elle ?	63 ans	43 ans	1
42	En mai 2015, combien de Présidents de la République française (actuel et anciens) sont toujours en vie ?	Quatre.	Trois.	1
43	Quels éléments décoratifs et/ou utilitaires place-t-on souvent au pied des murs à l'intérieur des habitations ?	Des plinthes.	Des plintes.	1
44	Qui possède le plus gros cerveau du règne animal ?	L'homme.	Le cachalot.	2
45	Comment les Romains appelaient-ils ce dieu ?	Dionysos.	Bacchus.	2
46	Qui a dit "Ouvrez des écoles, vous fermerez des prisons" ?	Victor Hugo.	Jules Ferry.	1
47	A quelle période de l'Histoire les termes "poilu" et "gueule cassée" se rapportent-ils ?	La Première Guerre mondiale.	La Préhistoire.	1
48	A quoi les rives du lac artificiel du Salagou doivent-elles leur couleur rouge ?	Au fer.	Au paprika.	1
49	Que peut-on qualifier de "superfétatoire" ?	Une grosse teuf !	Ce qui est superflu !	2
50	Quelle est la nationalité de l'actrice et productrice Natalie Portman ?	Française.	Israélo-américaine.	2
51	Dans quel Disney peut-on voir un morse amateur d'huîtres qui fume le cigare ?	'Alice au pays des merveilles'.	'Pinocchio'.	1
52	Quelle chanson sortie en 2014 commence par "Je suis une cruche..." ?	'Pas là' de Vianney.	'Jour 1' de Louane.	1
53	Quel saurien couvert d'écailles épineuses est parfois appelé "diable cornu" ?	Le boloch.	Le moloch.	2
54	Comment appelle-t-on un poète qui chantait des épopées grecques antiques ?	Un aède.	Un ménestrel.	1
55	Qui est Louise Brown ?	C'est la soeur de Charlie Brown.	C'est le premier bébé éprouvette.	2
56	A quand remonte la création de l'Etat d'Israël ?	1918	1948	2
57	Quel phénomène naturel se produit dans l'embouchure de certains fleuves lors des grandes marées ?	Le mascaret.	Le mascara.	1
58	Comment écrit-on "1500" en chiffres romains ?	MD.	ML.	1
59	Quelle sonde spatiale lancée en 1977 est devenue la première création humaine à quitter la zone d'influence du soleil ?	Voyager I.	Pioneer III.	1
60	Avec quelle chanson Shaggy a-t-il fait un carton en 1995 ?	'Boom Boom Pow'.	'Boombastic'.	2
