index	exam_type	title	answer1	answer2	right
题库索引	题目类型	题目	答案A	答案B	正确答案（1 or 2）
1	30	Части какого дракона можно добыть в Священной башне?	Белого	Зеленого	2
2	30	Как звали ту, чьи слёзы капали на холодное колющее оружие?	Маруся	Анна	1
3	50	Как называется коралловый остров кольцеобразной формы?	Атолл	Сицилия	1
4	30	Профессия Дуремара?	Акушер	Аптекарь	2
5	30	Продолжи пословицу: «Повторенье — …	Умиротворенье	Мать учения	2
6	40	Художник - создатель самой загадочной улыбки?	Да Винчи	Микеланджело	1
7	40	Когда был запущен первый искусственный спутник Земли?	10/4/1957	8/20/1969	1
8	40	На какой планете родился Люк Скайвокер?	Марс	Татуин	2
9	40	Амаксофобия - это боязнь…	Воды	Транспорта	2
10	30	Что символизировал меч в Древней Руси?	Силу	Войну	2
11	30	Сколько планет в солнечной системе?	8	9	1
12	40	На какой город американцы в 1945 году сбросили первую атомную бомбу?	Хиросима	Нагасаки	1
13	50	Кто сказал: "Я сам знаю, что эта задача не имеет решения. Я хочу знать, как ее решать"?	Кристобаль Хуанта	Юрий Никулин	1
14	50	Как Одиссей, наряжая в караул воинов, требовал именовать любого грека?	Герой	По имени-отчеству	2
15	30	Где находятся глаза у улитки?	На панцире	На рогах	2
16	30	Кто написал сказку "Карлик Нос"?	Вильгельм Гауф	Михаил Ломоносов	1
17	30	Какой памятник стоит в Варшавской Национальной библиотеке?	Ваза с пеплом книг	Золотая книга	1
18	30	Сколько процентов людей - явные левши?	.09	.15	2
19	50	Куда звонит человек, набирающий 104?	В психдиспансер 	В газовую службу	2
20	50	Мефистофель впервые явился перед Фаустом в облике:	Черта	Пуделя	2
21	30	Как называется игра, состоящая в написании стихов на заранее заданные рифмы?	Буриме	Лимерик	1
22	60	Сколько мобов нужно убить в «Арена храбрецов испытаний», для получения награды?	180	360	2
23	50	В корейской кухне напрочь отсутствует:	Свинина	Молочные продукты	2
24	60	Сколько стоит эссенция драконьих жил?	10 балленов	30 балленов	2
25	30	Как называется основная денежная единица Марокко?	Дирхем 	Лиры	1
26	60	Непарнокопытное животное?	Слон	Лошадь	2
27	50	Что требуется для прохода в Башню Отряда 3 уровня?	Крылатый маунт	60 уровень	1
28	50	Где в автомобиле находятся форсунки?	В кардане	В двигателе	2
29	30	Как называется мягкая часть в центре зуба?	Пульпа	Корень зуба	1
30	30	На каком уровне открывается «Алхимия»?	на 30	на 35	2
31	30	Какой из этих городов - столица Султаната Оман?	Маскат	Тагил	1
32	30	Во время какого путешествия Христофор Колумб впервые достиг американского материка?	Первого	Третьего	2
33	60	Как звали сына капитана Гранта?	Роберт	Пятница	1
34	30	Какого короля англичане прозвали "Львиное сердце"?	Ричард I	Александр II	1
35	31	На флаге какого государства есть только красный и черный цвета?	Германия	Албания	2
36	30	Какой из этих городов находится не в России?	Дербент	Конотоп	2
37	30	На какой российской купюре нового образца изображён «Большой театр»?	100 рублей	50 рублей	1
38	31	Недостаточность какого органа отмечается при бронзовой болезни?	Печень	Надпочечники	2
39	30	Кого Марко Поло в своём путешествии принял за легендарное мифическое животное?	Бегемота	Носорога	2
40	30	Какому государству сейчас принадлежит Тибет?	Турции	Китаю	2
41	32	Сколько всего стран удостаивались звания Чемпиона мира ФИФА?	8	12	1
42	30	Какое из этих существ не является моллюском?	Сколопендра	Адский вампир	1
43	30	Как зовут единственную дочь королевы Англии Елизаветы II?	Настасья	Анна	2
44	60	Сколько запрещающих знаков в российских Правилах дорожного движения?	36	27	1
