module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	vous avez activé cette peau	1
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	félicitations ,vous avez réussi à activer la figure %s.	1
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	acquis ：#C(##FF33CC)%s×1	1
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#nvous avez jeté dans l'activité de jet de la crêpe de la fête de mit-automne #C(#00FF00)%s#n，et recevoir la récompense %s，félicitations !	1
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	DuiTang	1
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	champion 	1
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	Cinq rois	1
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	Fleurs d'or	1
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	félicitations ,vous avez acquis #H	1
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)pièce d'or + %s#n	1
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	on ne peut utiliser que 20 cadeaux de lune tous les jours  	1
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	vous avez réussi ,et vous avez gagné la force physique + %s#H	1
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	valeur de bénédiction temporaire de l'elfe stellaire +%s	1
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	vous avez été hors de ligne pour moins de 5 heures,connectez-vous au bout de %s minutes pour que vous puissiez jouer le jeu normalement 	1
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	le défi en un bouton vous a apporté ：#H	1
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Cela fait plus de 15 jours que votre compagnon ne s'est pas en ligne, impossible a participer à partie d'inter-serveurs, et demandez à votre compagnon de se connecter	1
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	vous avez réussi à applaudir et la récompense a été envoyé ,acquis: #Z(%s,%s)	1
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	wow ! Vous avez bien tiré , acquis : #Z(%s,%s)	1
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	cristal magique +%s#H	1
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	félicitations ,vous avez acquis #H	1
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	vous ne pouvez pas acheter la force d'action à présent 	1
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	félicitations !vous êtes classé dans l'activité de 【autel du héros du guerrier 】%s，et acquérez la grande récompense !	1
